A1,A2,A3,A4,A5,A6,A7,A8,A9,TARGET
a,u,g,k,h,f,f,t,s,-
b,u,g,w,v,f,f,f,g,-
?,u,g,aa,v,f,f,f,g,-
a,y,p,e,dd,f,f,f,g,-
b,u,g,d,v,f,f,f,g,-
b,y,p,c,v,f,f,t,s,-
b,u,g,i,bb,f,f,t,g,-
b,u,g,i,bb,f,f,t,s,-
b,u,g,i,bb,f,f,t,g,-
a,u,g,c,v,f,f,f,g,-
a,y,p,i,bb,f,f,f,g,-
a,y,p,ff,ff,f,f,t,g,-
b,u,g,k,v,f,f,t,g,-
b,y,p,c,v,f,f,t,g,-
b,y,p,aa,v,f,f,t,g,-
b,u,g,c,v,f,f,t,s,-
b,u,g,i,bb,f,f,t,g,-
b,u,g,m,v,f,f,f,s,-
b,u,g,e,v,f,f,f,g,-
b,u,g,i,bb,f,f,f,g,-
b,u,g,aa,bb,f,f,t,g,-
b,u,g,m,v,f,f,t,g,-
b,y,p,w,v,f,f,f,g,-
a,u,g,d,v,f,f,t,g,-
b,y,p,x,h,f,f,f,g,-
a,y,p,ff,ff,f,f,f,g,-
b,y,p,k,h,f,f,t,g,-
b,u,g,c,v,f,f,f,g,-
b,y,p,j,v,f,f,f,g,-
b,u,g,c,v,f,f,f,g,-
a,u,g,i,bb,f,f,t,g,-
a,u,g,q,v,f,f,f,s,-
b,y,p,i,bb,f,f,t,g,-
a,u,g,ff,ff,f,f,f,s,-
a,y,p,k,v,f,t,f,g,-
a,y,p,c,v,f,t,f,g,-
b,u,g,w,v,f,t,f,g,-
b,u,g,q,v,f,t,f,g,-
b,u,g,ff,ff,f,t,f,g,-
b,u,g,c,v,f,t,f,g,-
a,u,g,i,v,f,f,f,g,-
b,u,g,i,bb,f,f,f,s,-
b,u,g,k,v,f,f,t,g,-
a,y,p,ff,ff,f,f,f,g,-
b,y,p,k,v,f,f,f,g,-
b,u,g,c,v,f,f,t,g,-
b,u,g,c,v,f,t,f,g,-
a,y,p,ff,ff,f,f,t,g,-
b,u,g,i,v,f,f,t,g,-
b,u,g,q,v,f,f,f,g,-
b,u,g,w,v,f,f,f,g,-
b,u,g,cc,v,f,f,f,g,-
b,u,g,c,v,f,f,f,p,-
b,u,g,c,v,f,f,f,g,-
a,u,g,w,v,f,f,t,g,-
b,u,g,e,v,f,f,f,g,-
b,u,g,ff,ff,f,f,f,g,-
b,y,p,cc,v,f,f,f,g,-
b,y,p,ff,ff,f,f,f,g,-
b,y,p,c,v,f,f,f,g,-
b,u,g,k,v,f,f,t,g,-
b,u,g,aa,v,f,f,f,g,-
b,u,g,c,v,f,f,t,g,-
b,y,p,ff,ff,f,t,f,g,-
b,u,g,ff,ff,f,t,f,g,-
a,u,g,ff,ff,f,f,t,s,-
a,u,g,ff,ff,f,t,f,g,-
b,u,g,k,v,f,t,t,g,-
b,u,g,k,v,f,t,f,s,-
b,u,g,ff,ff,f,t,f,g,-
b,y,p,m,v,f,f,t,s,-
b,u,g,k,v,f,f,t,g,-
a,y,p,j,ff,f,f,f,g,-
a,u,g,ff,ff,f,f,f,g,-
b,u,g,c,v,f,f,f,g,-
a,u,g,ff,ff,f,f,f,g,-
b,u,g,ff,ff,f,t,f,g,-
b,u,g,c,v,f,f,f,g,-
b,y,p,i,bb,f,f,f,g,-
b,u,g,c,v,f,f,f,g,-
b,u,g,q,v,f,f,f,g,-
?,u,g,w,v,f,f,t,g,-
b,u,g,d,v,f,f,t,g,-
b,u,g,w,v,f,f,f,g,-
b,?,?,?,?,f,f,f,p,-
b,y,p,c,v,f,f,f,g,-
b,u,g,i,bb,f,f,f,g,-
b,y,p,c,v,f,f,t,g,-
a,y,p,c,v,f,f,f,g,-
b,u,g,m,v,f,t,f,g,-
b,u,g,c,v,f,f,f,g,-
a,u,g,ff,ff,f,t,f,g,-
a,u,g,j,j,f,t,f,g,-
a,u,g,m,v,f,t,t,g,-
b,u,g,c,v,f,t,t,g,-
a,u,g,w,h,f,t,f,g,-
b,u,g,k,v,f,f,f,g,-
b,u,g,i,h,f,f,t,g,-
a,u,g,k,h,f,f,f,g,-
b,y,p,i,h,f,f,f,g,-
b,u,g,i,v,f,f,f,g,-
b,y,p,i,v,f,f,t,g,-
b,u,g,c,v,f,f,f,g,-
b,u,g,d,v,f,f,t,g,-
b,u,g,i,h,f,f,t,g,-
b,y,p,i,h,f,f,t,s,-
b,u,g,i,v,f,f,f,g,-
?,y,p,?,?,f,f,f,s,-
a,u,g,i,v,f,t,t,g,-
b,y,p,k,v,f,t,t,g,-
a,u,g,aa,v,f,t,t,g,-
b,y,p,c,v,f,t,f,g,-
b,u,g,m,v,f,f,f,s,-
b,y,p,ff,ff,f,t,f,g,-
b,y,p,k,v,f,f,f,g,-
b,y,p,aa,v,f,f,t,g,-
b,y,p,ff,ff,f,f,t,g,-
?,u,g,q,v,f,f,t,g,-
a,u,g,q,h,t,t,f,g,+
b,u,g,q,v,t,t,t,g,+
b,u,g,m,v,t,t,f,g,+
a,u,g,c,h,t,f,f,g,+
a,y,p,c,h,t,f,f,g,+
b,u,g,w,v,t,f,f,g,+
a,u,g,x,h,t,f,t,g,+
b,u,g,c,v,t,t,t,g,+
b,u,g,c,v,t,t,t,g,+
b,u,g,c,v,t,t,f,g,+
b,u,g,x,v,t,t,t,g,+
b,u,g,cc,v,t,t,t,g,+
a,u,g,ff,ff,t,t,f,g,+
b,u,g,x,v,t,t,f,g,+
a,u,g,c,v,t,t,t,g,+
b,u,g,c,v,t,t,f,g,+
a,u,g,aa,v,t,t,f,g,+
a,u,g,q,h,t,t,f,g,+
a,u,g,c,v,t,t,f,g,+
b,y,p,w,v,t,t,t,g,+
b,y,p,w,v,t,t,t,g,+
a,u,g,j,j,t,f,f,g,+
a,u,g,c,v,t,f,f,g,+
b,u,g,e,dd,t,f,f,g,+
b,y,p,c,h,t,f,f,g,+
b,u,g,x,v,t,f,f,g,+
a,u,g,aa,v,t,t,f,g,+
b,u,g,c,v,t,t,t,g,+
a,u,g,q,v,t,t,f,g,+
b,u,g,x,v,t,t,t,g,+
?,u,g,k,v,t,t,f,g,+
a,u,g,e,dd,t,t,t,g,+
b,u,g,m,v,t,t,f,g,+
a,u,g,q,v,t,t,f,g,-
a,u,g,q,v,t,f,t,g,-
b,u,g,c,v,t,f,t,g,-
b,u,g,k,v,t,f,f,g,-
a,u,g,i,bb,t,f,t,g,-
a,u,g,k,h,t,t,t,g,-
b,u,g,q,h,t,t,f,g,-
a,u,g,c,h,t,f,t,g,-
a,u,g,aa,h,t,f,f,g,-
b,u,g,i,bb,t,f,f,g,-
b,u,g,ff,ff,t,f,f,g,-
b,u,g,aa,v,t,f,t,g,-
a,y,p,ff,ff,t,f,f,g,-
a,u,g,ff,ff,t,f,f,g,-
b,u,g,x,h,t,f,t,g,-
b,u,g,w,bb,t,f,t,g,-
b,u,g,?,?,t,f,f,g,-
b,y,p,cc,v,t,f,t,g,-
b,u,g,i,bb,t,f,f,g,-
b,y,p,k,h,t,f,t,g,-
b,u,g,w,v,t,f,t,g,-
b,y,p,i,bb,t,t,t,g,-
b,y,p,d,v,t,f,f,s,-
b,y,p,w,v,t,t,t,g,-
b,u,g,d,h,t,t,f,g,+
b,u,g,x,v,t,t,t,g,+
b,u,g,m,v,t,f,f,s,+
b,u,g,e,z,t,t,t,g,+
b,u,g,i,bb,t,t,f,g,+
b,u,g,r,n,t,t,t,g,+
b,u,g,w,v,t,t,f,g,+
a,y,p,x,h,t,t,f,g,+
b,u,g,c,h,t,t,f,g,+
b,u,g,w,v,t,t,t,g,+
a,u,g,w,v,t,t,f,g,+
b,u,g,x,h,t,f,f,g,+
a,u,g,q,h,t,t,t,g,+
a,u,g,cc,h,t,t,f,g,+
b,u,g,x,h,t,f,f,g,+
b,u,g,c,h,t,f,f,g,+
b,u,g,q,h,t,f,t,g,+
b,u,g,q,h,t,f,t,g,+
a,u,g,aa,v,t,f,f,g,+
b,u,g,w,h,t,t,t,g,+
a,u,g,x,h,t,f,f,g,+
b,y,p,c,v,t,t,t,g,+
a,u,g,aa,v,t,t,f,g,+
b,u,g,w,v,t,t,t,g,+
b,y,p,d,v,t,t,t,g,+
b,y,p,x,v,t,t,t,g,+
a,u,g,ff,ff,t,t,t,g,+
a,u,g,c,h,t,t,f,g,+
b,y,p,c,h,t,t,t,g,+
b,u,g,c,v,t,t,f,g,+
b,u,g,c,v,t,t,f,g,+
b,u,g,c,v,t,t,f,g,+
b,u,g,m,v,t,t,t,g,+
b,u,g,x,v,t,t,t,g,+
b,u,g,e,v,f,t,f,s,+
b,u,g,m,v,t,f,t,g,+
b,y,p,w,h,t,f,t,g,+
a,y,p,e,z,t,f,f,g,+
b,u,g,ff,ff,t,f,t,g,+
b,u,g,x,h,t,t,t,g,+
b,u,g,c,v,t,t,f,g,+
b,y,p,c,v,t,t,t,g,+
b,u,g,c,v,t,t,t,g,+
b,u,g,cc,v,t,t,f,g,+
b,u,g,c,h,t,t,t,g,+
b,?,?,?,?,f,f,f,p,+
b,u,g,w,v,f,f,t,g,+
b,u,g,k,v,t,f,t,g,+
b,u,g,c,bb,t,f,f,g,+
a,u,g,c,v,t,t,t,g,+
a,u,g,aa,v,t,t,f,g,+
?,u,g,q,v,f,t,f,g,+
b,u,g,c,v,t,t,t,g,+
a,u,g,k,v,t,t,f,g,+
?,y,p,?,?,f,f,t,g,-
b,y,p,k,v,f,f,f,g,-
b,u,g,q,v,f,f,f,g,-
b,u,g,c,h,t,f,f,g,-
a,y,p,k,v,f,f,t,g,-
b,u,g,c,v,f,f,f,g,+
b,u,g,k,v,f,f,t,g,-
b,y,p,d,v,f,f,t,g,-
b,u,g,x,bb,f,f,t,g,-
b,y,p,k,v,f,f,f,g,-
b,y,p,q,h,f,t,t,g,-
b,u,g,w,v,f,t,f,g,-
b,u,g,c,bb,f,t,t,g,-
a,u,g,c,v,f,f,f,g,-
b,u,g,c,h,f,t,t,g,-
b,u,g,i,v,f,t,t,g,-
b,y,p,ff,ff,f,t,f,g,-
b,u,g,m,v,f,t,t,g,-
b,y,p,aa,v,t,f,f,g,-
b,u,g,i,v,f,f,f,g,-
b,u,g,c,j,f,f,t,s,+
a,?,?,?,?,f,f,f,p,+
b,u,g,q,v,f,f,f,g,-
b,y,p,cc,v,f,f,f,g,-
b,u,g,c,v,f,f,f,s,-
b,y,p,i,bb,f,f,t,g,-
b,u,g,ff,ff,f,f,f,g,-
b,u,g,d,h,f,f,f,g,-
a,u,g,w,v,f,f,f,g,-
a,u,g,q,v,f,f,t,g,-
a,u,g,m,h,f,t,t,g,-
a,u,g,ff,ff,f,f,f,g,-
b,y,p,k,ff,f,f,f,g,-
a,u,g,w,v,f,t,t,g,-
b,u,g,c,n,f,t,t,g,-
b,y,p,m,v,f,f,t,g,-
b,u,g,aa,v,f,f,f,g,-
b,u,g,aa,v,f,f,t,g,-
b,u,g,k,v,f,f,t,g,-
b,u,g,i,bb,f,f,t,g,-
?,y,p,cc,v,f,f,t,g,-
b,y,p,aa,v,f,f,t,g,-
a,u,g,aa,h,f,f,f,g,-
b,y,p,w,v,f,f,t,g,-
b,u,g,cc,v,f,f,t,g,-
a,u,g,c,v,f,f,f,g,-
b,u,g,aa,v,f,f,t,g,-
b,u,g,k,h,f,f,t,g,-
a,u,g,ff,ff,f,t,f,g,-
b,u,g,i,bb,f,f,f,g,-
a,u,g,q,v,f,t,t,g,-
a,u,g,i,v,f,f,t,s,-
b,u,g,i,v,t,f,t,g,-
a,u,g,q,v,f,t,t,g,-
a,y,p,ff,ff,f,f,f,g,-
b,u,g,c,h,f,t,t,g,-
a,u,g,aa,v,f,f,f,g,-
a,u,g,c,v,f,f,f,g,-
a,u,g,c,v,f,t,t,g,-
b,u,g,aa,v,f,f,f,g,-
b,u,g,c,v,f,f,f,g,-
a,u,g,w,v,f,f,t,g,-
b,y,p,cc,v,f,f,t,g,-
b,y,p,w,v,f,f,f,s,-
b,y,p,m,v,f,f,f,g,-
a,u,g,c,v,f,f,t,g,-
a,u,g,c,v,f,t,t,g,-
b,u,g,d,h,f,f,t,s,-
b,y,p,ff,ff,f,f,f,g,-
b,u,g,w,v,f,f,f,g,-
b,u,g,cc,v,f,f,f,g,-
a,u,g,aa,v,f,f,t,g,-
?,y,p,e,h,f,f,f,g,-
a,u,g,i,h,f,f,f,g,-
a,u,g,aa,v,f,f,f,g,-
a,u,g,q,h,f,t,t,g,-
b,u,g,m,v,f,t,f,g,-
a,u,g,ff,ff,f,f,f,g,-
a,u,g,c,v,f,f,f,g,-
b,u,g,k,v,f,f,f,g,-
b,y,p,d,h,f,f,f,g,-
b,u,g,i,v,f,f,t,g,-
